KP,LI,LJ,RI,RJ
97.6k,,,563,5
97.8k,556,22,558,5
98.0k,548,20,549,4
98.2k,537,16,537,3
98.4k,527,13,527,2
98.6k,515,20,517,1
98.8k,507,9,507,1
99.0k,497,8,498,1
99.2k,489,7,489,2
99.4k,482,7,482,2
99.6k,476,7,475,2
100.2k,472,7,472,2
100.4k,465,7,466,2
100.6k,461,7,460,1
100.8k,455,8,454,3
101.0k,448,8,447,1
101.2k,440,9,440,5
101.4k,435,12,431,6
101.6k,426,16,422,1
101.8k,417,19,413,1
102.0k,408,22,404,1
102.2k,399,24,393,1
102.4k,388,25,390,1
102.6k,378,23,381,12
102.8k,369,19,372,9
103.0k,363,17,363,6
103.2k,355,18,354,6
103.4k,347,25,344,1
103.6k,338,18,334,1
103.8k,330,23,328,15
104.0k,322,25,321,15
104.2k,315,27,314,25
104.4k,305,30,319,10
104.6k,299,30,319,1
104.8k,293,30,309,1
105.0k,286,30,297,1
105.2k,275,30,302,1
105.4k,265,29,272,1
105.6k,258,30,261,1
105.8k,258,30,242,1
106.0k,252,30,234,1
106.2k,236,30,231,1
106.4k,225,30,222,10
106.6k,,,211,13
106.8k,,,200,15
107.0k,,,189,14
107.2k,,,175,9
107.4k,,,165,3
107.6k,,,157,18
107.8k,146,30,149,14
108.0k,140,30,140,20
108.2k,132,24,132,19
108.4k,124,24,124,18
108.6k,117,23,116,18
108.8k,110,23,109,21
109.0k,100,21,106,10
